taxa,mean_min_aw,min_aw
Sistotrema_brinkmannii,0.97,0.97
Rhizoctonia_solani,0.96,0.96
Chaetomium_globosum,0.94,0.94
Botrytis_cinerea,0.93,0.93
Mucor_plumbeus,0.93,0.93
Phoma_herbarum,0.93,0.93
Mucor_racemosus,0.93,0.92
Thamnidium_elegans,0.93,0.92
Stachybotrys_chartarum,0.926,0.89
Rhizopus_stolonifer,0.926,0.92
Aspergillus_fischeri,0.925,0.925
Rhodotorula_mucilaginosa,0.92,0.92
Trichoderma_viride,0.92,0.92
Pseudogymnoascus_pannorum,0.905,0.89
Mucor_circinelloides,0.9,0.9
Penicillium_digitatum,0.9,0.9
Pichia_membranifaciens,0.9,0.9
Lecanicillium_lecanii,0.9,0.9
Gibberella_zeae,0.89,0.89
Fusarium_poae,0.89,0.89
Gibberella_tricincta,0.89,0.89
Saccharomyces_cerevisiae,0.89,0.89
Ulocladium_chartarum,0.89,0.89
Aureobasidium_pullulans,0.885,0.88
Fusarium_culmorum,0.885,0.87
Fusarium_oxysporum,0.885,0.87
Fusarium_solani,0.885,0.87
Trichothecium_roseum,0.884,0.86
Lichtheimia_corymbifera,0.88,0.88
Neurospora_sitophila,0.88,0.88
Fusarium_fujikuroi,0.877666667,0.87
Cladosporium_australiense,0.87,0.87
Cladosporium_delicatulum,0.87,0.87
Cladosporium_inversicolor,0.87,0.87
Gibberella_avenacea,0.87,0.87
Purpureocillium_lilacinum,0.87,0.84
Penicillium_italicum,0.87,0.87
Penicillium_oxalicum,0.87,0.86
Alternaria_alternata,0.86,0.85
Aspergillus_clavatus,0.86,0.85
Cladosporium_herbarum,0.86,0.85
Epicoccum_nigrum,0.86,0.86
Fusarium_sporotrichioides,0.86,0.86
Cladosporium_cladosporioides,0.8525,0.84
Cladosporium_allicinum,0.85,0.85
Cladosporium_dominicanum,0.85,0.85
Cladosporium_globisporum,0.85,0.85
Cladosporium_langeronii,0.85,0.85
Cladosporium_perangustum,0.85,0.85
Cladosporium_pseudocladosporioides,0.85,0.85
Cladosporium_ramotenellum,0.85,0.85
Cladosporium_tenellum,0.85,0.85
Wickerhamomyces_anomalus,0.85,0.85
Microascus_brevicaulis,0.85,0.85
Byssochlamys_lagunculariae,0.84,0.84
Talaromyces_rugulosus,0.836666667,0.8
Aspergillus_fumigatus,0.835,0.82
Debaryomyces_hansenii,0.835,0.83
Penicillium_commune,0.83,0.83
Talaromyces_islandicus,0.83,0.83
Penicillium_palitans,0.83,0.83
Penicillium_roqueforti,0.83,0.83
Cladosporium_sphaerospermum,0.825,0.815
Penicillium_expansum,0.824,0.82
Cladosporium_halotolerans,0.82,0.82
Penicillium_phaeojanthinellum,0.82,0.82
Talaromyces_wortmannii,0.82,0.82
Penicillium_glabrum,0.81,0.81
Penicillium_solitum,0.81,0.81
Penicillium_griseofulvum,0.81,0.81
Penicillium_verrucosum,0.81,0.81
Schizosaccharomyces_pombe,0.81,0.81
Penicillium_aurantiogriseum,0.81,0.79
Aspergillus_niger,0.808,0.76
Aspergillus_parasiticus,0.806666667,0.78
Penicillium_citrinum,0.806,0.8
Penicillium_chrysogenum,0.801666667,0.78
Aspergillus_nidulans,0.8,0.78
Zygosaccharomyces_bailii,0.8,0.8
Penicillium_spinulosum,0.795,0.79
Byssochlamys_spectabilis,0.79,0.79
Penicillium_dierckxii,0.79,0.78
Aspergillus_flavus,0.7884,0.78
Penicillium_brevicompactum,0.7825,0.75
Aspergillus_sydowii,0.78,0.78
Aspergillus_tamarii,0.78,0.78
Aspergillus_ochraceus,0.775,0.76
Aspergillus_terreus,0.775,0.77
Aspergillus_versicolor,0.77,0.75
Phialosimplex_halophilus,0.77,0.77
Hortaea_werneckii,0.77,0.77
Aspergillus_pisci,0.75,0.75
Aspergillus_candidus,0.748,0.74
Aspergillus_penicillioides,0.73,0.73
Aspergillus_restrictus,0.73,0.71
Aspergillus_wentii,0.73,0.73
Aspergillus_amstelodami,0.721,0.703
Aspergillus_glaucus,0.719,0.65
Xerochrysium_xerophilum,0.71,0.71
Aspergillus_ruber,0.708333333,0.7
Aspergillus_montevidensis,0.705,0.7
Aspergillus_chevalieri,0.705,0.65
Absidia_glauca,0.7,0.7
Wallemia_sebi,0.695,0.69
Bettsia_fastidia,0.665,0.61
Aspergillus_echinulatus,0.64,0.64
Zygosaccharomyces_rouxii,0.62,0.62
Xeromyces_bisporus,0.61,0.61